Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change
20-Jul-17,11.255,11.5675,10.37,11.315,11.255,0.06,0.53
21-Jul-17,11.315,11.715,9.0075,11.085,11.315,-0.23,-2.03
24-Jul-17,11.085,11.795,10.3575,11.3125,11.085,0.23,2.05
25-Jul-17,11.3125,11.5125,10.235,10.9125,11.3125,-0.4,-3.54
26-Jul-17,10.9125,11.775,10.9075,11.17,10.9125,0.26,2.36
27-Jul-17,11.17,11.915,10.81,11.2175,11.17,0.05,0.43
28-Jul-17,11.2175,12.015,10.9825,11.1375,11.2175,-0.08,-0.71
31-Jul-17,11.1375,12.0325,11.1375,11.9,11.1375,0.76,6.85
01-Aug-17,11.9,12.3925,11.5875,11.9075,11.9,0.01,0.06
02-Aug-17,11.9075,12.1725,10.9225,11.9425,11.9075,0.04,0.29
03-Aug-17,11.9425,12.2325,11.2075,11.6425,11.9425,-0.3,-2.51
04-Aug-17,11.6425,11.745,10.745,11.39,11.6425,-0.25,-2.17
07-Aug-17,11.39,12.0025,10.64,11.895,11.39,0.51,4.43
08-Aug-17,11.895,13.045,10.485,12.77,11.895,0.88,7.36
09-Aug-17,12.77,13.6775,10.515,13.4525,12.77,0.68,5.34
10-Aug-17,13.4525,14.1675,12.23,13.8025,13.4525,0.35,2.6
11-Aug-17,13.8025,15.5425,11.67,15.195,13.8025,1.39,10.09
14-Aug-17,15.195,15.195,11.8575,14.3825,15.195,-0.81,-5.35
16-Aug-17,14.3825,14.7,12.62,14.2375,14.3825,-0.15,-1.01
17-Aug-17,14.2375,14.6225,10.7925,14.34,14.2375,0.1,0.72
18-Aug-17,14.34,14.89,11.1675,14.57,14.34,0.23,1.6
21-Aug-17,14.57,14.965,13.145,14.815,14.57,0.25,1.68
22-Aug-17,14.815,14.815,11.1625,14.105,14.815,-0.71,-4.79
23-Aug-17,14.105,14.105,12.2625,13.1825,14.105,-0.92,-6.54
24-Aug-17,13.1825,13.195,11.9425,12.5725,13.1825,-0.61,-4.63
28-Aug-17,12.5725,13.6775,11.365,12.64,12.5725,0.07,0.54
29-Aug-17,12.64,13.8525,12.28,13.5425,12.64,0.9,7.14
30-Aug-17,13.5425,14.13,11.745,12.8875,13.5425,-0.66,-4.84
31-Aug-17,12.8875,13.695,11.785,11.9525,12.8875,-0.94,-7.26
01-Sep-17,11.9525,12.1575,10.525,11.675,11.9525,-0.28,-2.32
04-Sep-17,11.675,13.955,11.485,13.165,11.675,1.49,12.76
05-Sep-17,13.165,13.4425,12.475,12.8875,13.165,-0.28,-2.11
06-Sep-17,12.8875,13.495,12.035,13.12,12.8875,0.23,1.8
07-Sep-17,13.12,13.1275,11.175,13.0075,13.12,-0.11,-0.86
08-Sep-17,13.0075,13.0975,11.7725,12.9625,13.0075,-0.05,-0.35
11-Sep-17,12.9625,12.9625,11.5475,12.36,12.9625,-0.6,-4.65
12-Sep-17,12.36,12.36,11.52,11.7575,12.36,-0.6,-4.87
13-Sep-17,11.7575,11.865,10.68,11.755,11.7575,0,-0.02
14-Sep-17,11.755,11.8775,10.36,11.47,11.755,-0.29,-2.42
15-Sep-17,11.47,12.0175,10.0175,11.6775,11.47,0.21,1.81
18-Sep-17,11.6775,11.6775,10.835,11.4425,11.6775,-0.24,-2.01
19-Sep-17,11.4425,11.6425,10.3975,11.465,11.4425,0.02,0.2
20-Sep-17,11.465,11.8775,10.115,11.6325,11.465,0.17,1.46
21-Sep-17,11.6325,12.1825,9.2575,11.6325,11.6325,0,0
22-Sep-17,11.6325,12.9925,11.005,12.81,11.6325,1.18,10.12
25-Sep-17,12.81,13.84,11.5075,13.34,12.81,0.53,4.14
26-Sep-17,13.34,13.625,12.6325,12.9275,13.34,-0.41,-3.09
27-Sep-17,12.9275,14.165,11.77,13.8625,12.9275,0.94,7.23
28-Sep-17,13.8625,13.9725,12.8225,13.1725,13.8625,-0.69,-4.98
29-Sep-17,13.1725,13.1725,11.91,12.485,13.1725,-0.69,-5.22
03-Oct-17,12.485,12.8725,11.44,12.46,12.485,-0.03,-0.2
04-Oct-17,12.46,12.5775,11.575,11.8,12.46,-0.66,-5.3
05-Oct-17,11.8,11.895,10.585,11.71,11.8,-0.09,-0.76
06-Oct-17,11.71,11.71,10.745,11.1175,11.71,-0.59,-5.06
09-Oct-17,11.1175,11.565,10.405,11.3925,11.1175,0.28,2.47
10-Oct-17,11.3925,11.45,10.75,11.1125,11.3925,-0.28,-2.46
11-Oct-17,11.1125,12.1825,10.1875,11.73,11.1125,0.62,5.56
12-Oct-17,11.73,11.73,10.46,11.0425,11.73,-0.69,-5.86
13-Oct-17,11.0425,11.345,10.085,11.2625,11.0425,0.22,1.99
16-Oct-17,11.2625,11.5825,10.0325,11.31,11.2625,0.05,0.42
17-Oct-17,11.31,11.7325,10.105,11.61,11.31,0.3,2.65
18-Oct-17,11.61,11.75,10.1325,11.54,11.61,-0.07,-0.6
19-Oct-17,11.54,12.8125,10.825,12.395,11.54,0.86,7.41
23-Oct-17,12.395,12.9375,10.875,12.325,12.395,-0.07,-0.56
24-Oct-17,12.325,12.47,11.36,11.59,12.325,-0.74,-5.96
25-Oct-17,11.59,12.4925,11.19,11.76,11.59,0.17,1.47
26-Oct-17,11.76,12.6475,11.2875,11.6175,11.76,-0.14,-1.21
27-Oct-17,11.6175,12.1525,11.19,11.475,11.6175,-0.14,-1.23
30-Oct-17,11.475,12.26,11.475,12.1125,11.475,0.64,5.56
31-Oct-17,12.1125,12.525,11.525,12.44,12.1125,0.33,2.7
01-Nov-17,12.44,12.44,11.79,12.1375,12.44,-0.3,-2.43
02-Nov-17,12.1375,12.37,11.41,12.005,12.1375,-0.13,-1.09
03-Nov-17,12.005,12.3025,11.0725,11.91,12.005,-0.1,-0.79
06-Nov-17,11.91,13.26,11.3725,13.0225,11.91,1.11,9.34
07-Nov-17,13.0225,13.68,11.6775,13.2375,13.0225,0.22,1.65
08-Nov-17,13.2375,13.855,11.235,13.61,13.2375,0.37,2.81
09-Nov-17,13.61,13.715,11.08,13.2675,13.61,-0.34,-2.52
10-Nov-17,13.2675,13.8175,11.1675,13.475,13.2675,0.21,1.56
13-Nov-17,13.475,14.3825,11.165,14.045,13.475,0.57,4.23
14-Nov-17,14.045,14.74,12.4575,14.165,14.045,0.12,0.85
15-Nov-17,14.165,14.5775,11.58,14.265,14.165,0.1,0.71
16-Nov-17,14.265,14.265,11.0675,13.4625,14.265,-0.8,-5.63
17-Nov-17,13.4625,13.86,11.6325,13.7125,13.4625,0.25,1.86
20-Nov-17,13.7125,15.605,11.12,13.4325,13.7125,-0.28,-2.04
21-Nov-17,13.4325,13.925,11.01,13.715,13.4325,0.28,2.1
22-Nov-17,13.715,14.335,12.185,14.0375,13.715,0.32,2.35
23-Nov-17,14.0375,14.4625,12.8225,13.865,14.0375,-0.17,-1.23
24-Nov-17,13.865,13.9925,12.49,13.5125,13.865,-0.35,-2.54
27-Nov-17,13.5125,13.9025,11.5275,13.03,13.5125,-0.48,-3.57
28-Nov-17,13.03,13.3625,12.0375,13.1475,13.03,0.12,0.9
29-Nov-17,13.1475,13.285,12.255,13.06,13.1475,-0.09,-0.67
30-Nov-17,13.06,13.9075,11.965,13.55,13.06,0.49,3.75
01-Dec-17,13.55,15.0225,12.62,14.795,13.55,1.25,9.19
04-Dec-17,14.795,15.255,14.135,14.855,14.795,0.06,0.41
05-Dec-17,14.855,15.3375,13.5475,15.0075,14.855,0.15,1.03
06-Dec-17,15.0075,15.2575,13.5525,15.0875,15.0075,0.08,0.53
07-Dec-17,15.0875,15.0875,13.92,14.2725,15.0875,-0.82,-5.4
08-Dec-17,14.2725,14.2725,12.905,13.6725,14.2725,-0.6,-4.2
11-Dec-17,13.6725,14.485,12.16,14.1475,13.6725,0.48,3.47
12-Dec-17,14.1475,15.3725,12.1575,15.2625,14.1475,1.12,7.88
13-Dec-17,15.2625,16.3125,12.7025,15.945,15.2625,0.68,4.47
14-Dec-17,15.945,17.385,12.795,16.4075,15.945,0.46,2.9
15-Dec-17,16.4075,16.4075,13.3975,14.94,16.4075,-1.47,-8.94
18-Dec-17,14.94,18.2575,12.815,13.115,14.94,-1.83,-12.22
19-Dec-17,13.115,13.115,12.075,12.1875,13.115,-0.93,-7.07
20-Dec-17,12.1875,12.415,11.2025,12.185,12.1875,0,-0.02
21-Dec-17,12.185,12.2425,10.16,12.085,12.185,-0.1,-0.82
22-Dec-17,12.085,12.1325,10.7325,11.5875,12.085,-0.5,-4.12
26-Dec-17,11.5875,12.2575,10.3175,12.0525,11.5875,0.47,4.01
27-Dec-17,12.0525,12.735,11.51,12.4925,12.0525,0.44,3.65
28-Dec-17,12.4925,12.6925,11.3275,12.2975,12.4925,-0.2,-1.56
29-Dec-17,12.2975,12.76,11.48,12.67,12.2975,0.37,3.03
